order_type,dim_group_id,order_no,dim_bookingdate_id,dim_store_id,service_fee_code,dim_customer_id,dim_language,dim_totals_currency,dim_status_id,phone,payment_amount,discount_amount,service_fee_amount,base_amount,inputvat,outputvat,product_vat,selling_price,selling_price_vat,ibv,iov_usd,gbv,gbv_usd
car-rental,55,R23011543901000,20230115,1000,NULL,e4416826dbe178a55c216ed106dea4ce,en,SAR,CONFIRMED,5d3781e56816406b08a3022504fa438a,129.9998,0,NULL,113.043,0,16.9565,16.9565,113.043,16.9565,152.17,40.58373845,152.17,40.58373845
cruise,55,CR22120136061000,20221201,1000,NULL,1ac2e5630afb0d5e717124c3d831ef4d,en,SAR,CONFIRMED,acbce35d6d3b3dd58633165fe2b0afa4,2733,0,NULL,2733,0,0,0,2733,0,400,106.6799998,400,106.6799998
visa,55,V23021225291000,20230212,1000,NULL,0e8be6e329c62d494542080aff686ced,en,SAR,CONFIRMED,36f1141a061436afe87d015e2124a9e9,395,0,NULL,395,0,0,0,395,0,4185,1116.139498,0,0
idl,55,IDL22090931401000,20220909,1000,NULL,613c57790567dc7acacb55dd96cf8f1b,en,SAR,CONFIRMED,409c9a089f4204c6e9cb68b807b625fa,174.9999,0,NULL,152.174,0,22.8261,22.826,152.174,22.826,269.57,71.89432084,269.57,71.89432084
concierge-service,55,CS22112070041000,20221120,1000,NULL,b069da9c1926be6a2de954617121ce5c,en,SAR,CONFIRMED,8479595ab74f0e91984a40e51ee29491,400,0,NULL,400,0,0,0,400,0,404.35,107.8401465,404.35,107.8401465
transfer,55,T23020741681015,20230207,1015,NULL,fe554d3615902ccff1cb963dfd7b4374,en,SAR,CANCELLED,ccc31cd585707ab885e00073e80e635e,4185,0,NULL,4185,0,0,0,4185,0,2200,586.7399991,2200,586.7399991
car-rental,55,R22101051621000,20221010,1000,NULL,ccfbe65428245a2cbed9268b94114170,en,SAR,CONFIRMED,142045a3bb9eead4a8b2c8d629d9dab6,309.9999,0,NULL,269.565,0,40.4348,40.4347,269.565,40.4347,800,213.3599997,800,213.3599997
car-rental,55,R22120689031000,20221206,1000,NULL,f38fa74bd3d4a9ed3111caa4c7ebe473,en,SAR,CONFIRMED,77249e78929502c9ff98236becf60e04,464.9999,0,NULL,404.348,0,60.6522,60.6521,404.348,60.6521,1470,392.0489994,1470,392.0489994
car-rental,55,R22092084411000,20220920,1000,NULL,d0a4426622b2e8b94fd228b765aec9c9,en,SAR,CONFIRMED,a07381b00175d62e43810530d6838198,2200,0,NULL,2200,0,0,0,2200,0,400,106.6799998,400,106.6799998
car-rental,55,R22121287271000,20221212,1000,NULL,3556b3382974f03636417c900b2d46fd,en,SAR,CONFIRMED,dfb36f973a97958b29ea36b7b1c77bca,920,0,NULL,800,0,120,120,800,120,714,190.4237997,714,190.4237997
train,55,TR23021961091000,20230219,1000,NULL,99c94a0567904487b3715090a71d35a0,en,SAR,CONFIRMED,adf0e576f1cd74e14ad6ed66336ca37c,1470,0,NULL,1470,0,0,0,1470,0,124.35,33.16414454,124.35,33.16414454
visa,55,V22112930931000,20221129,1000,NULL,84f167bfd017182efe375ea2522dbb66,en,SAR,CONFIRMED,5ee3a3b0c2f5938d6f4f870442bbfb16,400,0,NULL,400,0,0,0,400,0,429.57,114.5663208,429.57,114.5663208
car-rental,55,R22092621671000,20220926,1000,NULL,729efbd183395cfbbf56cd94c29ef8d7,en,SAR,CONFIRMED,e7c6b6d899d2f42a21245075e56d8326,714,0,NULL,714,0,0,0,714,0,22400,5974.07999,22400,5974.07999
car-rental,55,R23020834421000,20230208,1000,NULL,7f1b2923214250d7cb6afb2e19e98bc7,en,SAR,CONFIRMED,1ca83f72910ab3db331109555b48773f,142.9999,0,NULL,124.348,0,18.6522,18.6521,124.348,18.6521,350,93.34499985,350,93.34499985
car-rental,55,R22102519791000,20221025,1000,NULL,78b88b9f6e123c20bfda5659e3fa37a1,en,SAR,CONFIRMED,91b64b1b84053ea75ac916346e55b8fb,493.9999,0,NULL,429.565,0,64.4348,64.4347,429.565,64.4347,222.61,59.37008707,222.61,59.37008707
car-rental,55,R23011045181000,20230110,1000,NULL,aa1ae2f073605274f82684635c168ee1,en,SAR,CONFIRMED,fb4ab9626d0cf628010e1c00102e75b2,25760,0,NULL,22400,0,3360,3360,22400,3360,111.3,29.68371077,111.3,29.68371077
transfer,55,T22093056771000,20220930,1000,NULL,238534d44751e9062562d3fc4245b670,en,SAR,CONFIRMED,7270816661e5981552c336ad74478fad,350,0,NULL,350,0,0,0,350,0,62,16.53539997,62,16.53539997
car-rental,55,R22102336631000,20221023,1000,NULL,11f0dbcf03b99de28b3dc37c65fd1dbd,en,SAR,CONFIRMED,d6206f6ef20c3ef7c9cb5076140c2932,255.9998,0,NULL,222.609,0,33.3913,33.3913,222.609,33.3913,152.17,40.58373845,152.17,40.58373845
car-rental,55,R23011260851000,20230112,1000,NULL,849f746b4beeaeb6605ce7f950402128,en,SAR,CONFIRMED,29e57b2690a154a7bad7330cc6d81e2d,127.9999,0,NULL,111.304,0,16.6957,16.6956,111.304,16.6956,800,213.3599997,800,213.3599997
transfer,55,T22113054481000,20221130,1000,NULL,f9d4163c3f35146e28c7c1c286cb73d9,en,SAR,CONFIRMED,5dd1ac0adfb8510dd8e00d5fd1158d93,62,0,NULL,62,0,0,0,62,0,900,240.0299996,900,240.0299996
idl,55,IDL22082323461000,20220823,1000,NULL,1e7c6efdd900a7d5eae06e88259fa972,en,SAR,CONFIRMED,65056eb13e3c582bdde7e94eb7cb391f,174.9999,0,NULL,152.174,0,22.8261,22.826,152.174,22.826,400,106.6799998,400,106.6799998
car-rental,55,R22080632211000,20220806,1000,NULL,991e0d0aeb3a401c383c91406238491c,en,SAR,CONFIRMED,dde7846f9270e6bfc7abc79a9b819573,920,0,NULL,800,0,120,120,800,120,400,106.6799998,400,106.6799998
transfer,55,T22121542631000,20221215,1000,NULL,da3c0278a543b91d7874c42f2c700708,en,SAR,CONFIRMED,416d219b9c63ead935bb9a84ae80fd07,1207.5,0,NULL,900,0,135,135,900,135,260,69.34199989,260,69.34199989
concierge-service,55,CS22111746631000,20221117,1000,NULL,7653dd3bc7dc5f42e27cbfbab6e00c59,en,SAR,CONFIRMED,4a24b3747db8383705b643b7bdd78334,400,0,NULL,400,0,0,0,400,0,450,120.0149998,450,120.0149998
concierge-service,55,CS23022325831000,20230223,1000,NULL,e522d15e067d83a7b357f9b55d903ed4,en,SAR,CONFIRMED,de667882c27d079c8eb1420b36b3f01f,400,0,NULL,400,0,0,0,400,0,449,119.7482998,449,119.7482998
car-rental,55,R23021631161000,20230216,1000,NULL,d428fb420c70e82fd1b2c0290f016096,en,SAR,CONFIRMED,8b154dddbaf76d48d4dc884728c37bb7,1134.9999,0,NULL,986.956,0,148.043,148.043,986.956,148.043,331.3,88.3577066,331.3,88.3577066
transfer,55,T22082804381000,20220828,1000,NULL,b86ad68e2fcf02d3361fda096606f1fb,en,SAR,CONFIRMED,32ec5e516771606b98c620abe89defa6,260,0,NULL,260,0,0,0,260,0,225,60.0074999,225,60.0074999
transfer,55,T23021222071000,20230212,1000,NULL,da3c0278a543b91d7874c42f2c700708,en,SAR,CONFIRMED,cf460a27447822f9b979fdeb3fcc448b,690,0,NULL,450,0,67.5,67.5,450,67.5,394,105.0797998,394,105.0797998
visa,55,V22081044881000,20220810,1000,NULL,8f575bea4d996ed5bf2c59ed658a273f,en,SAR,CONFIRMED,358d09f1e550cccef41def6a8bfdc770,449,0,NULL,449,0,0,0,449,0,736.52,196.4298889,736.52,196.4298889
car-rental,55,R22121544171000,20221215,1000,NULL,4040d82d62bb7d33ec8a42080ee9515e,en,SAR,CONFIRMED,224ce32c5f7f74ed0551cb8e24e976a2,380.9999,0,NULL,331.304,0,49.6957,49.6956,331.304,49.6956,152.17,40.58373845,152.17,40.58373845
transfer,55,T22082358021000,20220823,1000,NULL,bf30d89770b6e5205c185d40736c9723,en,SAR,CONFIRMED,eeee4df55efcf64a9ec6044f80f74f11,225,0,NULL,225,0,0,0,225,0,158,42.13859993,158,42.13859993
train,55,TR22102237531000,20221022,1000,NULL,4f1a2f8696e0cbfc8b9db6d86b16917e,en,SAR,CONFIRMED,5b038ca108b113866fc568a761cbf413,1850,0,NULL,1850,0,0,0,1850,0,886,236.2961996,886,236.2961996
visa,55,V22112176751000,20221121,1000,NULL,198e169ac5d4b7de34a782d5b5bbbe27,en,SAR,CONFIRMED,c737b24ea758e0855912630c8583ec74,394,0,NULL,394,0,0,0,394,0,30000,8000.999987,30000,8000.999987
car-rental,55,R22101233221000,20221012,1000,NULL,45eb682c459e8c4ec9fc9a7273fc1751,en,SAR,CONFIRMED,cea2c0dfd3c017871021ec447a615f88,846.9999,0,NULL,736.522,0,110.478,110.478,736.522,110.478,6600,1760.219997,6600,1760.219997
idl,55,IDL22082343011000,20220823,1000,NULL,0adee6b5e7c4df937ecf91aa80308fb1,en,SAR,CONFIRMED,cab3b1a95f8284100088774a0106f138,174.9999,0,NULL,152.174,0,22.8261,22.826,152.174,22.826,269.57,71.89432084,269.57,71.89432084
visa,55,V22111547431000,20221115,1000,NULL,df3ce6680ff8c0ec6698acc97f4c03ec,en,SAR,CONFIRMED,d2904253c62df86ce445453f95b1bb8a,158,0,NULL,158,0,0,0,158,0,13500,3600.449994,0,0
visa,55,V23020207481000,20230202,1000,NULL,e3bfc3b6fd0d3118b53a9fbded5c7d3b,en,SAR,CONFIRMED,5fda77821b4066f814dd802f654d283a,886,0,NULL,886,0,0,0,886,0,404.35,107.8401465,404.35,107.8401465
package,55,P22093058551000,20220930,1000,NULL,d48c881e675ddead64c3257f5f467c59,en,SAR,CONFIRMED,9c25281b6a4a43439cea7513e985e357,30000,0,NULL,30000,0,0,0,30000,0,55,14.66849998,55,14.66849998
transfer,55,T22101918071000,20221019,1000,NULL,46308275f777180904dd925dd601ceff,en,SAR,CONFIRMED,0bd3240e3231476260dd7cc28ad96077,6600,0,NULL,6600,0,0,0,6600,0,298,79.47659987,298,79.47659987
car-rental,55,R22100855671000,20221008,1000,NULL,ec7c3ec0a3406428647a51c8d3adaf24,en,SAR,CONFIRMED,c12665f79d7efdd17ddbdaa8dc55e96c,309.9999,0,NULL,269.565,0,40.4348,40.4347,269.565,40.4347,271,72.27569988,271,72.27569988
package,55,P22081168101000,20220811,1000,NULL,eeed9dfc206b9617a5aca42c9ddb4225,en,SAR,CANCELLED,009daf92a974560b24b0fb0b4cba1421,13500,0,NULL,13500,0,0,0,13500,0,10808,2882.493595,10808,2882.493595
car-rental,55,R23011576631000,20230115,1000,NULL,f38fa74bd3d4a9ed3111caa4c7ebe473,en,SAR,CONFIRMED,777c9421e2e61e6e2c0ba66c90c99092,464.9999,0,NULL,404.348,0,60.6522,60.6521,404.348,60.6521,29420.5,7846.447337,0,0
insurance,55,I23021830211000,20230218,1000,NULL,d58cd10cc1c8e160965d9e30bb34a012,en,SAR,CONFIRMED,3bb3fef3e576aa8079d2b100a38ea23d,55,0,NULL,55,0,0,0,55,0,800,213.3599997,800,213.3599997
transfer,55,T23022540431000,20230225,1000,NULL,cb2b02b10e6bb3d5ffc3204afccbe911,en,SAR,CONFIRMED,d346642f97b1ac516c2b7f3be12ba007,298,0,NULL,298,0,0,0,298,0,273.91,73.05179786,273.91,73.05179786
car-rental,55,R22101143951000,20221011,1000,NULL,a576470b159432ab6b49a58fe2327da6,en,SAR,CONFIRMED,b0397aa858f89f005ba0f0746c3d73ab,271,0,NULL,271,0,0,0,271,0,738,196.8245997,738,196.8245997
cruise,55,CR22110219331000,20221102,1000,NULL,f4af76244c373d0eb116d5ff2f43cd48,en,SAR,CONFIRMED,92dcedfa8dd97cc0a711033b68fa91b3,10808,0,NULL,10808,0,0,0,10808,0,965.22,257.4241658,965.22,257.4241658
cruise,55,CR22082172991000,20220821,1000,NULL,3e6f26922ba7eba05b08a2debbd92e17,en,SAR,CANCELLED,386cdab68bee2125b3e3fc57fb925a8e,29420.5,0,NULL,29420.5,0,0,0,29420.5,0,152.17,40.58373845,152.17,40.58373845
transfer,55,T23011023841000,20230110,1000,NULL,da3c0278a543b91d7874c42f2c700708,en,SAR,CONFIRMED,03aacce29abf266826c40df4d5b1380b,1092.5,0,NULL,800,0,120,120,800,120,0,0,133.2,35.52443913
car-rental,55,R22102851491000,20221028,1000,NULL,b316d3aa64febdcd8a295b23d79c279f,en,SAR,CONFIRMED,a6c7a548e1b44c4439d2e12e94a6ce0d,314.9999,0,NULL,273.913,0,41.087,41.0869,273.913,41.0869,248.7,66.32828908,248.7,66.32828908
visa,55,V22080934591000,20220809,1000,NULL,5ee4a21e2aaccd85574faa1c3729fe5c,en,SAR,CONFIRMED,ae1f6ed7d1985930385e63f28a1ce41f,738,0,NULL,738,0,0,0,738,0,1122,299.2373995,1122,299.2373995
car-rental,55,R23011003541000,20230110,1000,NULL,6c8363965ba471de89ef627f6c929a65,en,SAR,CONFIRMED,4f0d156c5c03c9d96a437b992885a257,1109.9998,0,NULL,965.217,0,144.783,144.783,965.217,144.783,400,106.6799998,400,106.6799998
idl,55,IDL22082119991000,20220821,1000,NULL,3281f18e70e6253981a1a7c29ad2ff41,en,SAR,CONFIRMED,e84a9766d78069777ce687fc67a7a842,174.9999,0,NULL,152.174,0,22.8261,22.826,152.174,22.826,152.17,40.58373845,152.17,40.58373845
car-rental,55,R22081104911000,20220811,1000,NULL,3114bf8981bfb8677a58ebbdc2f9cbfc,en,SAR,CONFIRMED,01a763f4473574205490fb81e3ebe6db,917.9999,0,NULL,798.261,0,119.739,119.739,798.261,119.739,59.77,15.9406591,59.77,15.9406591
visa,55,V23011732441000,20230117,1000,NULL,3b11e40d724bba2802f8220190be4a5c,en,SAR,CONFIRMED,989cb29dd86fde8321fe15c249137400,699.5,0,NULL,499.5,0,0,0,499.5,0,5122.61,1366.200048,5122.61,1366.200048
car-rental,55,R23020755721000,20230207,1000,NULL,7703019219e763b12b852fcdc0547fd0,en,SAR,CONFIRMED,ac4ecf59a8d4e22f6e51ab897a22eedd,285.9999,0,NULL,248.696,0,37.3043,37.3043,248.696,37.3043,776,206.9591997,776,206.9591997
visa,55,V23012660721001,20230126,1001,NULL,02960cf6822ed6e942686066f954e269,en,AED,CONFIRMED,45f3f46e52430742fee0095013e14aa5,1100,0,NULL,1100,0,0,0,1100,0,10030,2747.217022,10030,2747.217022
concierge-service,55,CS22102640811000,20221026,1000,NULL,7152779ac184dc51d8a0292b848e3a27,en,SAR,CONFIRMED,5f4420dc8149d8f62ba2174f7b453709,400,0,NULL,400,0,0,0,400,0,56.1,14.96186957,56.1,14.96186957
idl,55,IDL22111681961000,20221116,1000,NULL,ca43d3933f89be8b6bfd1a403e929af6,en,SAR,CONFIRMED,5e7ab2315f6eb9cfd75b67f194561065,174.9999,0,NULL,152.174,0,22.8261,22.826,152.174,22.826,600,160.0199997,600,160.0199997
insurance,55,I22120675581002,20221206,1002,NULL,65de9996d43b516720d8e5a2371589bd,en,KWD,CONFIRMED,e19621ca30afa9bbe01e38b714b5ffb1,4.84,0,NULL,4.84,0,0,0,4.84,0,91.3,299.4640074,0,0
visa,55,V22121845021000,20221218,1000,NULL,b069da9c1926be6a2de954617121ce5c,en,SAR,CONFIRMED,8479595ab74f0e91984a40e51ee29491,268,0,NULL,268,0,0,0,268,0,149.57,39.89032089,0,0
cruise,55,CR22111668721000,20221116,1000,NULL,f7686e16b1069e3a3a75988589bc15c1,en,SAR,CONFIRMED,e8aacbc638168f8368d462f7ac24c15b,5890.9997,0,NULL,5122.61,0,768.391,768.391,5122.61,768.391,399.13,106.4479721,399.13,106.4479721
train,55,TR22120573971000,20221205,1000,NULL,d69673f61ac3ee0873b5f3dd8f58be2d,en,SAR,CONFIRMED,53082ed0fb9bddfc4f13aa49799afd11,776,0,NULL,776,0,0,0,776,0,865,230.6954996,865,230.6954996
transfer,55,T23021163641000,20230211,1000,NULL,9a52f1e80429feeca5aad00fd331a449,en,SAR,CONFIRMED,515c10de14bc448147d0d51b4b0869d7,10030,0,NULL,10030,0,0,0,10030,0,222.61,59.37008707,0,0
insurance,55,I23022414231001,20230224,1001,NULL,dfd1ce1e8dfad15f1fcaf8dc4cb25986,en,AED,CONFIRMED,58d1d82cf9f27862da2bbfb7f36f2ded,55,0,NULL,55,0,0,0,55,0,520,142.4280012,520,142.4280012
transfer,55,T22093008571000,20220930,1000,NULL,7962c79e1ff64faf9f9ccb177427908e,en,SAR,CONFIRMED,9a0de50ae0de8e5ac2a921b96fb6496a,600,0,NULL,600,0,0,0,600,0,152.17,40.58373845,152.17,40.58373845
car-rental,55,R22100441701000,20221004,1000,NULL,d7de0be1eb7699c8bd983fc4cc6e7484,en,SAR,CANCELLED,575eaf942726b1ee9a00a55c33eef2f3,104.9999,0,NULL,91.3043,0,13.6957,13.6956,91.3043,13.6956,104.35,27.83014455,104.35,27.83014455
car-rental,55,R22100701231000,20221007,1000,NULL,97352ccbc3de2f4a56438d2ebe5de853,en,SAR,CANCELLED,08c2e4f4d60047a0572c0e0b9fb1c0ad,171.9999,0,NULL,149.565,0,22.4348,22.4347,149.565,22.4347,139.13,37.10597224,139.13,37.10597224
car-rental,55,R23012245801000,20230121,1000,NULL,8aebd9bab3eb670d33eb900604f0b779,en,SAR,CONFIRMED,ad8b5416debb1127c1174dc4de2b0b57,458.9999,0,NULL,399.13,0,59.8696,59.8695,399.13,59.8695,562.5,150.0187498,562.5,150.0187498
car-rental,55,R22111165251000,20221111,1000,NULL,de2262d23f5e5c483bd4b12cc3a24fc4,en,SAR,CONFIRMED,045dc99a7ff698556b1aa89221dda872,865,0,NULL,865,0,0,0,865,0,290,77.34299988,290,77.34299988
car-rental,55,R22080472891000,20220804,1000,NULL,9656c436d284676a6a80066eb002607a,en,SAR,CANCELLED,bf5c9f12ae17c214be63458f36dde2a9,255.9998,0,NULL,222.609,0,33.3913,33.3913,222.609,33.3913,1217.71,324.7632461,1217.71,324.7632461
car-rental,55,R22122824311000,20221228,1000,NULL,cd923d4a03cd0a91345d476ae9794cc6,en,SAR,CONFIRMED,729eb2a19477fafd67728d7b814eb910,520,0,NULL,520,0,0,0,520,0,5895.65,1572.369826,5895.65,1572.369826
idl,55,IDL22080731241000,20220807,1000,NULL,1df73120a03a4b5df517d57a26df1822,en,SAR,CONFIRMED,bf70af27301893edaf5b9236087c963b,174.9999,0,NULL,152.174,0,22.8261,22.826,152.174,22.826,152.17,40.58373845,152.17,40.58373845
car-rental,55,R23021707361000,20230217,1000,NULL,f9c6ae5431c6f684dba697e833d30422,en,SAR,CONFIRMED,bc9b60e79000c6c23db3c7830c9f1384,119.9999,0,NULL,104.348,0,15.6522,15.6521,104.348,15.6521,404.35,107.8401465,404.35,107.8401465
car-rental,55,R22082336171000,20220823,1000,NULL,a482d3590e6b992e902c542f2ee6ec50,en,SAR,CONFIRMED,35f9c585798e8240081d0316699101b9,159.9999,0,NULL,139.13,0,20.8696,20.8695,139.13,20.8695,4992,1331.366398,4992,1331.366398
train,55,TR23022684661000,20230226,1000,NULL,f7b74a814ae1488b0828119cf549946c,en,SAR,CONFIRMED,9d4f4dd58b8829194de4be81edbfdcb8,562.5,0,NULL,562.5,0,0,0,562.5,0,152.17,40.58373845,152.17,40.58373845
car-rental,55,R23020421631000,20230204,1000,NULL,ce2ce446a588c29a741d387f10f56c4d,en,SAR,CONFIRMED,f4a16b11b901b7add671e635845b91dc,290,0,NULL,290,0,0,0,290,0,20998.3,5600.23587,20998.3,5600.23587
car-rental,55,R22111005201002,20221110,1002,NULL,7812e9d86236d8f3a16f7f396634f7f8,en,KWD,CONFIRMED,21547fd94fccaa84e4a94c79d72d4f0e,98.6,0,NULL,98.6,0,0,0,98.6,0,152.17,499.1175896,152.17,499.1175896
cruise,55,CR22113069141000,20221130,1000,NULL,61ce3f19992efbbe4cd815091c2c38c8,en,SAR,CONFIRMED,c30715c22097424f985436a7c896264a,6779.9999,0,NULL,5895.65,0,884.348,884.348,5895.65,884.348,152.17,40.58373845,152.17,40.58373845
idl,55,IDL22080232371000,20220802,1000,NULL,5149fbb3c81a4b2534c29c0edd916116,en,SAR,CONFIRMED,4d16f3480cd9da51b73e5f140bd8dc5b,174.9999,0,NULL,152.174,0,22.8261,22.826,152.174,22.826,365,97.34549984,365,97.34549984
car-rental,55,R22091208241000,20220912,1000,NULL,0609b4cb15eb0103bae32e88f2c887fb,en,SAR,CONFIRMED,4a4223047cf2d4229fd1e7fb652045be,464.9999,0,NULL,404.348,0,60.6522,60.6521,404.348,60.6521,540,144.0179998,540,144.0179998
car-rental,55,R22091208241000,20220912,1000,NULL,0609b4cb15eb0103bae32e88f2c887fb,en,SAR,CONFIRMED,4a4223047cf2d4229fd1e7fb652045be,464.9999,0,NULL,404.348,0,60.6522,60.6521,404.348,60.6521,540,144.0179998,540,144.0179998
car-rental,55,R22091208241000,20220912,1000,NULL,0609b4cb15eb0103bae32e88f2c887fb,en,SAR,CONFIRMED,4a4223047cf2d4229fd1e7fb652045be,464.9999,0,NULL,404.348,0,60.6522,60.6521,404.348,60.6521,540,144.0179998,540,144.0179998
car-rental,55,R22091208241000,20220912,1000,NULL,0609b4cb15eb0103bae32e88f2c887fb,en,SAR,CONFIRMED,4a4223047cf2d4229fd1e7fb652045be,464.9999,0,NULL,404.348,0,60.6522,60.6521,404.348,60.6521,540,144.0179998,540,144.0179998
car-rental,55,R22091208241000,20220912,1000,NULL,0609b4cb15eb0103bae32e88f2c887fb,en,SAR,CONFIRMED,4a4223047cf2d4229fd1e7fb652045be,464.9999,0,NULL,404.348,0,60.6522,60.6521,404.348,60.6521,540,144.0179998,540,144.0179998
car-rental,55,R22091208241000,20220912,1000,NULL,0609b4cb15eb0103bae32e88f2c887fb,en,SAR,CONFIRMED,4a4223047cf2d4229fd1e7fb652045be,464.9999,0,NULL,404.348,0,60.6522,60.6521,404.348,60.6521,540,144.0179998,540,144.0179998
car-rental,55,R22091208241000,20220912,1000,NULL,0609b4cb15eb0103bae32e88f2c887fb,en,SAR,CONFIRMED,4a4223047cf2d4229fd1e7fb652045be,464.9999,0,NULL,404.348,0,60.6522,60.6521,404.348,60.6521,540,144.0179998,540,144.0179998
car-rental,55,R22091208241000,20220912,1000,NULL,0609b4cb15eb0103bae32e88f2c887fb,en,SAR,CONFIRMED,4a4223047cf2d4229fd1e7fb652045be,464.9999,0,NULL,404.348,0,60.6522,60.6521,404.348,60.6521,540,144.0179998,540,144.0179998
